ticket_id;descricao
1;Olá, equipe de suporte. Desde ontem à noite, não consigo acessar minha conta no portal do cliente. Eu digito meu email e senha corretamente, mas o sistema continua mostrando a mensagem 'Erro de senha inválida'. Já tentei usar o link 'Esqueci minha senha', mas não recebi o email de redefinição. Poderiam verificar o que está acontecendo? Preciso acessar meus pedidos com urgência.
2;Bom dia. Atualmente, estou no plano 'Básico' e gostaria de fazer o upgrade para o plano 'Profissional' para ter acesso a mais funcionalidades. Naveguei pela área de assinaturas do site, mas não encontrei uma opção clara para fazer essa alteração diretamente. Qual é o procedimento correto para mudar meu plano sem perder meus dados atuais?
3;Fiz um pedido (nº 12345) no dia 15 de agosto, e a previsão de entrega era para o dia 22 de agosto. No entanto, já se passou mais de uma semana e o status de rastreamento não é atualizado. A última informação diz que 'o objeto saiu para entrega', mas isso foi há dias. Gostaria de uma posição sobre onde está meu produto e uma nova data de entrega.
4;Gostaria de registrar um elogio para a atendente Joana, do setor de suporte técnico. Ela foi extremamente paciente e didática ao me ajudar a resolver um problema de configuração complexo. É raro encontrar um atendimento com essa qualidade, que é ao mesmo tempo rápido, humano e muito eficiente. Parabéns a toda a equipe pelo excelente trabalho!
5;Olá, TI. Recebi meu novo notebook da empresa hoje e preciso que o pacote de softwares padrão seja instalado, incluindo o sistema de CRM, o pacote Office e o cliente de VPN. Já estou conectado à rede interna. Por favor, me informem quando um técnico pode acessar remotamente para realizar a instalação, pois preciso começar a trabalhar nos projetos.
6;Recebi minha fatura mensal referente a julho e notei uma cobrança de R$ 50,00 por um 'serviço adicional' que não contratei. Meu plano tem um valor fixo e nunca houve cobranças extras. Gostaria que verificassem a origem dessa cobrança e emitissem uma segunda via da fatura com o valor corrigido para que eu possa efetuar o pagamento.
7;Como sugestão de melhoria, acredito que a plataforma se beneficiaria muito com a implementação de um sistema de chat 24 horas. Muitas vezes, enfrento problemas fora do horário comercial e preciso esperar até o dia seguinte para obter ajuda. Um chat em tempo real agilizaria a resolução de questões simples e melhoraria muito a experiência do usuário.
8;Estou enfrentando um bug no aplicativo móvel (versão 3.2.1, em um Android 13). Sempre que tento acessar a minha tela de perfil para visualizar meus dados, o aplicativo trava por um segundo e fecha inesperadamente. Já tentei limpar o cache e reinstalar o app, mas o problema persiste. Todas as outras seções do aplicativo parecem funcionar normalmente.
9;Com a recente atualização do sistema de gestão (versão 5.0), muitos membros da minha equipe estão com dificuldades para encontrar as novas funcionalidades de relatórios. Para garantir que todos utilizem a ferramenta de forma correta e produtiva, gostaria de solicitar um treinamento ou um workshop online focado nas principais mudanças da nova versão.
10;Entrei em contato com o suporte por telefone hoje pela manhã e fiquei mais de 45 minutos na fila de espera ouvindo música antes de ser atendido. Entendo que a demanda pode ser alta, mas um tempo de espera tão longo é muito frustrante e prejudica a imagem da empresa. Gostaria de registrar essa reclamação para que possam avaliar o dimensionamento da equipe de atendimento.
